city,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max_Temp,Wind_Speed
sarmanovo,RU,1615977733,55.2553,52.5891,0,50,271.15,4
khatanga,RU,1615977734,71.9667,102.5,100,92,242.44,6.56
mantua,IT,1615977735,45.1667,10.7833,5,29,287.04,2.24
kalmunai,LK,1615977219,7.4167,81.8167,69,70,301.42,5.1
fairbanks,US,1615977611,64.8378,-147.7164,75,78,255.37,2.57
rawlins,US,1615977737,41.7911,-107.2387,90,86,268.15,3.09
pachino,IT,1615977738,36.7186,15.0907,75,41,286.15,2.06
xining,CN,1615977739,36.6167,101.7667,0,34,283.83,3.63
bathsheba,BB,1615977739,13.2167,-59.5167,20,69,297.15,6.17
campbellsville,US,1615977740,37.3434,-85.3419,1,100,281.15,2.06
chuy,UY,1615977172,-33.6971,-53.4616,80,91,294.26,4.25
cherskiy,RU,1615977741,68.75,161.3,22,96,243.56,2.09
rio gallegos,AR,1615977700,-51.6226,-69.2181,0,57,282.15,10.8
kampot,KH,1615977743,10.6167,104.1833,20,65,302.15,3.09
marietta,US,1615977645,33.9526,-84.5499,90,100,283.15,2
nhulunbuy,AU,1615977029,-12.2333,136.7667,22,78,301.15,2.57
belle fourche,US,1615977640,44.6714,-103.8522,90,86,273.15,5.14
sabang,ID,1615977280,5.8933,95.3214,98,64,301.84,1.31
nanortalik,GL,1615977745,60.1432,-45.2371,100,95,272.72,6.24
salou,ES,1615977746,41.0766,1.1416,0,45,291.15,8.75
kerrville,US,1615977747,30.0474,-99.1403,90,76,285.15,4.12
rudnogorsk,RU,1615977748,57.2639,103.7519,100,90,263.46,1.58
nuevo casas grandes,MX,1615977748,30.4167,-107.9167,0,43,275.5,0.93
virginia beach,US,1615977596,36.8529,-75.978,90,87,281.15,6.69
foz do iguacu,BR,1615977750,-25.5478,-54.5881,75,100,293.15,1.54
fershampenuaz,RU,1615977751,53.5202,59.8117,75,78,269.09,4.31
baglung,NP,1615977752,28.2719,83.5898,16,16,299.37,2.64
nouadhibou,MR,1615977753,20.931,-17.0347,0,83,293.15,6.17
kaeo,NZ,1615977754,-35.1,173.7833,32,91,290.93,4.63
tura,IN,1615977612,25.5198,90.2201,0,13,304.43,1.85
barcelos,PT,1615977598,41.5388,-8.6151,0,42,291.15,5.66
omboue,GA,1615977756,-1.5746,9.2618,100,81,297.59,3.78
araouane,ML,1615977756,18.9048,-3.5265,0,12,303.27,3.36
tasiilaq,GL,1615977757,65.6145,-37.6368,100,92,272.48,8.8
san juan,AR,1615977691,-31.5375,-68.5364,92,47,291.97,6.11
ponta delgada,PT,1615976872,37.7333,-25.6667,75,72,287.15,5.14
guerrero negro,MX,1615977759,27.9769,-114.0611,0,88,284.85,4.91
deshnok,IN,1615977760,27.7986,73.3447,88,9,308.63,4.74
umm kaddadah,SD,1615977760,13.6017,26.6876,86,5,313.04,6.81
talnakh,RU,1615977762,69.4865,88.3972,100,79,249.07,3.88
smithers,CA,1615977662,54.7804,-127.1743,40,75,275.15,4.12
bethel,US,1615977763,41.3712,-73.414,86,91,272.59,0.64
dikson,RU,1615977764,73.5069,80.5464,30,98,242.11,3.55
namatanai,PG,1615977765,-3.6667,152.4333,89,74,300.32,2.49
vardo,NO,1615977766,70.3705,31.1107,75,93,267.15,12.35
nago,JP,1615977766,26.5881,127.9761,1,73,296.15,3.6
saint george,US,1615977767,37.1041,-113.5841,1,93,277.04,3.09
deputatskiy,RU,1615977768,69.3,139.9,100,98,251.62,1.86
huanren,CN,1615977768,41.2647,125.3667,20,49,275.21,1.1
kodiak,US,1615977769,57.79,-152.4072,1,50,270.15,2.57
provideniya,RU,1615977770,64.3833,-173.3,18,88,253.42,4.44
batemans bay,AU,1615977771,-35.7167,150.1833,100,85,291.48,0.89
datong,CN,1615977772,40.0936,113.2914,100,73,278.55,2.2
turbat,PK,1615977773,26.0023,63.044,0,10,309.14,3.64
kaitangata,NZ,1615977774,-46.2817,169.8464,12,75,283.71,1.79
vicosa do ceara,BR,1615977775,-3.5622,-41.0922,78,89,294.65,1.73
matagalpa,NI,1615977775,12.9256,-85.9175,28,96,288.34,1.77
port lincoln,AU,1615977776,-34.7333,135.8667,0,83,291.33,3.94
kongolo,CD,1615977777,-5.3833,27,100,79,299.47,1.59
bilma,NE,1615977778,18.6853,12.9164,0,12,305.61,5.95
kasempa,ZM,1615977779,-13.4584,25.8338,99,80,296.1,1.31
abha,SA,1615977281,18.2164,42.5053,0,12,301.15,7.2
orocue,CO,1615977780,4.7912,-71.3354,100,87,296.31,2.89
roma,US,1615977247,43.2128,-75.4557,90,33,280.15,2.57
aklavik,CA,1615977184,68.2191,-135.0107,67,77,249.15,1.54
new norfolk,AU,1615977782,-42.7826,147.0587,0,67,289.15,1.03
lucapa,AO,1615977782,-8.4192,20.7447,100,60,300.24,2.35
tanout,NE,1615977783,14.9709,8.8879,23,8,308.89,5.67
luderitz,NA,1615977784,-26.6481,15.1594,0,62,295.19,6.22
port augusta,AU,1615977785,-32.5,137.7667,0,73,295.37,5.14
cap-chat,CA,1615977786,49.1001,-66.6821,98,53,264.15,4.63
basoko,CD,1615977786,1.2391,23.616,100,88,297.5,0.85
hamilton,US,1615977043,39.1834,-84.5333,90,100,279.26,2.57
kyaikto,MM,1615977788,17.3,97.0167,7,42,304.85,5.06
taitung,TW,1615977788,22.7583,121.1444,75,88,297.15,1.54
janakkala,FI,1615977789,60.9,24.6,89,87,275.37,3.37
katsuura,JP,1615977790,35.1333,140.3,20,41,288.15,6.17
araxa,BR,1615977790,-19.5933,-46.9406,52,88,292.81,1.71
lere,NG,1615977791,10.387,8.5726,33,12,312.56,0.45
vila franca do campo,PT,1615977792,37.7167,-25.4333,75,63,288.15,4.63
abu samrah,SY,1615977793,35.3029,37.1841,1,40,290.5,10.36
khasan,RU,1615977793,42.4308,130.6434,0,60,275.27,0.81
san rafael del sur,NI,1615977794,11.8485,-86.4384,20,83,295.15,3.09
pafos,CY,1615977795,34.7667,32.4167,75,77,289.15,6.69
tacna,PE,1615977796,-18.0056,-70.2483,0,72,292.15,1.54
olga,RU,1615977797,43.7444,135.2892,0,69,272.72,3.27
kailua,US,1615977798,21.4022,-157.7394,90,83,295.15,6.17
ahipara,NZ,1615976948,-35.1667,173.1667,4,85,288.82,2.09
coquimbo,CL,1615977799,-29.9533,-71.3436,0,76,286.15,1.03
shelburne,CA,1615977800,44.0787,-80.2041,77,70,273.15,0.85
roebourne,AU,1615977800,-20.7833,117.1333,57,62,303.12,4.24
dicabisagan,PH,1615977801,17.0818,122.4157,87,89,299.46,1.52
lompoc,US,1615977587,34.6391,-120.4579,1,93,278.71,1.54
esso,RU,1615977802,55.9333,158.7,100,93,268.65,1.06
kerema,PG,1615977803,-7.9631,145.7785,100,82,298.72,1.55
marienburg,PL,1615977804,54.0359,19.0266,79,100,277.59,5.59
port shepstone,ZA,1615977805,-30.7414,30.455,100,77,297.11,4.02
iracoubo,GF,1615977806,5.4802,-53.2011,65,76,298.59,4.73
ust-barguzin,RU,1615977806,53.45,108.9833,26,90,261.82,0.59
moron,AR,1615977807,-34.6534,-58.6198,90,88,291.15,5.14
kushima,JP,1615977555,31.4583,131.2333,75,77,291.15,1.54
puerto maldonado,PE,1615977808,-12.6,-69.1833,98,97,294.95,0.97
krasnoarmeysk,RU,1615977809,51.0239,45.6969,100,87,270.93,1.79
auki,SB,1615977810,-8.7676,160.7034,77,80,298.86,0.93
sorong,ID,1615977811,-0.8833,131.25,99,73,301.61,1.46
mouila,GA,1615977811,-1.8685,11.0559,100,70,301.28,1.32
labuhan,ID,1615977812,-6.8844,112.2051,77,77,300.61,1.59
lorica,CO,1615977724,9.2365,-75.8135,100,83,298.59,1.44
karangampel,ID,1615977813,-6.4622,108.4519,99,72,300.9,0.9
minas,UY,1615977626,-34.3759,-55.2377,75,94,293.15,5.14
itoigawa,JP,1615977815,37.0333,137.85,62,73,275.93,2.73
arkhangelsk,RU,1615977815,64.5401,40.5433,75,86,269.15,5
bogense,DK,1615977816,55.5669,10.0886,75,93,278.71,2.57
bela,IN,1615977817,25.9333,81.9833,24,9,309.93,5.7
mar del plata,AR,1615977552,-38.0023,-57.5575,90,88,289.15,12.35
flinders,AU,1615977818,-34.5833,150.8552,100,85,293.71,1.79
tilichiki,RU,1615977819,60.4667,166.1,60,84,254.5,4.91
dinghai,CN,1615977819,26.2847,119.7936,90,88,288.15,5
kuala terengganu,MY,1615977820,5.3302,103.1408,20,66,303.15,3.6
whitehorse,CA,1615977821,60.7161,-135.0538,90,57,264.26,1.03
eyl,SO,1615977822,7.9803,49.8164,10,55,303.37,7.79
husavik,IS,1615977823,66.0449,-17.3389,75,71,282.15,9.26
nang rong,TH,1615977824,14.6377,102.7914,20,67,310.15,1.03
manta,EC,1615977825,-0.95,-80.7333,100,89,297.42,1.2
luganville,VU,1615977826,-15.5333,167.1667,100,82,299.01,1.59
souillac,MU,1615977826,-20.5167,57.5167,75,62,303.15,5.66
oktyabrskiy,RU,1615977827,54.4815,53.471,100,78,268.34,3.84
baiima,SL,1615977829,8.1,-11.85,72,45,304.17,1.46
poum,NC,1615977829,-20.2333,164.0167,55,76,299.96,3.92
saint-philippe,RE,1615977830,-21.3585,55.7679,20,55,304.15,6.69
chippewa falls,US,1615977831,44.9369,-91.3929,90,93,272.59,0.62
manakara,MG,1615977832,-22.1333,48.0167,63,86,299.65,4.11
balikpapan,ID,1615977795,-1.2675,116.8289,40,70,303.15,2.06
aswan,EG,1615977833,24.0934,32.907,0,13,306.81,6.59
edmundston,CA,1615977834,47.3737,-68.3251,88,85,265.15,0.51
saint anthony,US,1615977234,45.0205,-93.218,90,93,273.71,1.54
kimbe,PG,1615977835,-5.5502,150.1429,100,87,298.93,1.01
atar,MR,1615977836,20.5169,-13.0499,99,8,305.32,4.95
torbay,CA,1615977837,47.6666,-52.7314,20,73,267.59,8.23
kokstad,ZA,1615977577,-30.5472,29.4241,49,49,299.46,0.78
umuarama,BR,1615977838,-23.7664,-53.325,100,92,294.46,2.86
saint-dizier,FR,1615977839,48.4167,5.0833,90,76,280.15,5.14
springbok,ZA,1615977840,-29.6643,17.8865,0,31,299.29,5.19
sur,OM,1615977840,22.5667,59.5289,13,42,302.92,3.16
dawei,MM,1615977841,14.0833,98.2,100,58,302.3,2.47
ericeira,PT,1615977842,38.9627,-9.4156,0,44,292.04,6.17
reconquista,AR,1615977842,-29.15,-59.65,11,92,290.29,5.23
olive branch,US,1615977843,34.9618,-89.8295,90,83,294.15,3.09
santa cruz de la palma,ES,1615977844,28.6835,-17.7642,20,64,294.15,6.17
leningradskiy,RU,1615977845,69.3833,178.4167,100,89,250.56,10.1
loudi,CN,1615977845,27.7344,111.9944,94,87,288.95,2.9
olafsvik,IS,1615977846,64.8945,-23.7142,100,96,279.56,7.79
westport,US,1615977847,41.1415,-73.3579,90,60,274.26,2.57
takoradi,GH,1615977847,4.8845,-1.7554,100,74,302.03,5.27
pitimbu,BR,1615977849,-7.4706,-34.8086,20,83,298.15,2.06
grootfontein,NA,1615977849,-19.5667,18.1167,41,61,298.15,3.09
ilulissat,GL,1615977850,69.2167,-51.1,90,72,261.15,4.63
long beach,US,1615977817,33.767,-118.1892,1,76,281.15,1.69
polis,CY,1615977851,35.0367,32.4264,75,77,289.15,6.69
san patricio,US,1615977852,28.017,-97.5169,90,94,295.93,7.2
kisangani,CD,1615977853,0.5167,25.2,99,80,297.2,1.44
houma,US,1615977583,29.5958,-90.7195,90,94,296.48,3.6
taywarah,AF,1615977855,33.35,64.4167,5,26,283.82,4.05
vaitape,PF,1615977855,-16.5167,-151.75,77,76,300.93,4.53
iregszemcse,HU,1615977856,46.6929,18.1858,81,52,279.82,6.26
cayenne,GF,1615977595,4.9333,-52.3333,73,94,299.26,4.92
gubkinskiy,RU,1615977857,64.434,76.5026,100,95,270.77,5.75
sao miguel do araguaia,BR,1615977858,-13.275,-50.1628,91,88,296.77,1.46
te anau,NZ,1615977859,-45.4167,167.7167,2,91,278.59,1.41
pervomayskoye,RU,1615977860,43.919,46.7102,27,55,286.79,3.55
papara,BR,1615977861,-3.9839,-38.7273,75,94,298.71,6.17
constantine,DZ,1615977862,36.365,6.6147,75,76,282.15,4.12
merauke,ID,1615977862,-8.4667,140.3333,100,79,299.97,0.86
rock springs,US,1615977863,41.5875,-109.2029,90,93,271.48,1.54
ossora,RU,1615977864,59.2353,163.0719,100,93,264.43,4.51
vetlanda,SE,1615977864,57.4289,15.0776,40,56,280.37,2.57
piacabucu,BR,1615977866,-10.4056,-36.4344,21,68,300.78,2.5
turkistan,KZ,1615977866,43,68,0,40,278.78,11.94
barao de melgaco,BR,1615977867,-16.1944,-55.9675,0,94,297.15,1.03
rochegda,RU,1615977868,62.8,43.25,97,98,273.5,1.35
goderich,CA,1615977869,43.7501,-81.7165,16,86,274.15,2.06
bosaso,SO,1615977290,11.2842,49.1816,0,74,301.15,6.69
teahupoo,PF,1615977870,-17.8333,-149.2667,0,73,299.15,1.03
akureyri,IS,1615977871,65.6835,-18.0878,75,71,282.15,9.26
surt,LY,1615977872,31.2089,16.5887,39,56,289.36,7.78
aykhal,RU,1615977873,66,111.5,0,85,242.55,2.81
otjiwarongo,NA,1615977873,-20.4637,16.6477,100,57,296.91,3.45
kangaatsiaq,GL,1615977874,68.3065,-53.4641,100,89,258.82,1.88
khani,GE,1615977875,41.9563,42.9566,0,42,292.15,9.77
